FID,OBJECTID,NM_MUNICIP,CD_GEOCMU,Shape_Leng,Shape_Area
0,1,ARAMBARÉ,4300851,1.201063968310000,0.048986530023900
1,2,CAMAQUÃ,4303509,3.053168710520000,0.158483986923000
2,3,PELOTAS,4314407,3.019232060730000,0.152981738584000
3,4,SÃO LOURENÇO DO SUL,4318804,3.101908989630000,0.192762390792000
4,5,TURUÇU,4322327,1.232363191710000,0.024072200847700
5,6,CAPIVARI DO SUL,4304671,1.096377925660000,0.038640465060700
6,7,VIAMÃO,4323002,2.306377709590000,0.140203260342000
7,8,PAÇO DO LUMIAR,2107506,0.579454852168000,0.009987967763250
8,9,SERRANO DO MARANHÃO,2111789,2.114123944030000,0.094764530626400
9,10,EUSÉBIO,2304285,0.452277367399000,0.006432725007040
10,11,BARRA DO RIBEIRO,4301909,2.011825606650000,0.068406649614400
11,12,TAPES,4321105,1.833558400370000,0.075888042118600
12,13,SANTA RITA,2513703,1.415222524950000,0.059764060025000
13,14,IGRAPIÚNA,2913457,1.629721693700000,0.049456496055800
14,15,LAGOA DOS PATOS,4300002,12.838105534600000,0.959468663142000
15,16,RIO GRANDE,4315602,4.022389265090000,0.259203995272000
16,17,SANTA VITÓRIA DO PALMAR,4317301,4.843001487460000,0.506851224571000
17,18,ALCOBAÇA,2900801,1.742515438010000,0.125955592256000
18,19,BELMONTE,2903409,2.415508217680000,0.163063428388000
19,20,CANAVIEIRAS,2906303,2.102752501800000,0.112333894524000
20,21,CARAVELAS,2906907,3.412495560770000,0.204081896554000
21,22,ILHÉUS,2913606,2.922778253360000,0.133015869847000
22,23,MUCURI,2922003,2.433830191660000,0.152460885475000
23,24,NOVA VIÇOSA,2923001,2.080167348400000,0.112327482693000
24,25,PORTO SEGURO,2925303,2.593729290460000,0.193699040260000
25,26,PRADO,2925501,2.463443094510000,0.143278573610000
26,27,SANTA CRUZ CABRÁLIA,2927705,1.673744963830000,0.123392871780000
27,28,UNA,2932507,1.782826293360000,0.102838041254000
28,29,URUÇUCA,2932705,1.301192293140000,0.042767845953400
29,30,ANCHIETA,3200409,1.267764672770000,0.035716913583100
30,31,ARACRUZ,3200607,1.700893854100000,0.122731500999000
31,32,CONCEIÇÃO DA BARRA,3201605,1.760038823380000,0.101344012818000
32,33,FUNDÃO,3202207,1.332013556180000,0.024917686979700
33,34,GUARAPARI,3202405,1.441272447930000,0.051273954823100
34,35,ITAPEMIRIM,3202801,1.257127032270000,0.048800885685500
35,36,LINHARES,3203205,3.867024027410000,0.301338224376000
36,37,MARATAÍZES,3203320,0.603528738788000,0.011568048710100
37,38,PIÚMA,3204203,0.412834573886000,0.006492982401610
38,39,PRESIDENTE KENNEDY,3204302,1.235697283010000,0.050774698383900
39,40,SÃO MATEUS,3204906,2.839169315160000,0.200370658167000
40,41,SERRA,3205002,1.163400664770000,0.047309414969300
41,42,VILA VELHA,3205200,0.885378103977000,0.018173497497400
42,43,VITÓRIA,3205309,0.963572263034000,0.008348685727850
43,44,ANGRA DOS REIS,3300100,4.985418089570000,0.072663525271200
44,45,ARARUAMA,3300209,1.342555783430000,0.056095966083200
45,46,ARMAÇÃO DOS BÚZIOS,3300233,0.700483346037000,0.006179869678800
46,47,ARRAIAL DO CABO,3300258,1.042788656910000,0.014109046795300
47,48,CABO FRIO,3300704,1.433183341260000,0.036073041172600
48,49,CARAPEBUS,3300936,0.680417773255000,0.026984618950400
49,50,CAMPOS DOS GOYTACAZES,3301009,4.803122753070000,0.351555266739000
50,51,CASIMIRO DE ABREU,3301306,1.534064867600000,0.040433217428400
51,52,DUQUE DE CAXIAS,3301702,1.175896905740000,0.041077927206500
52,53,GUAPIMIRIM,3301850,1.015041503870000,0.031680393025900
53,54,ITABORAÍ,3301900,1.204177647270000,0.037837631823300
54,55,ITAGUAÍ,3302007,1.771586957150000,0.024141188834800
55,56,MACAÉ,3302403,2.118861101000000,0.106640047056000
56,57,MAGÉ,3302502,0.893348342787000,0.034122730030000
57,58,MANGARATIBA,3302601,2.064477229680000,0.031380468338200
58,59,MARICÁ,3302700,1.008999245580000,0.031914335274600
59,60,NITERÓI,3303302,0.958954879362000,0.011787857790300
60,61,PARATY,3303807,3.748604375370000,0.081593531866300
61,62,QUISSAMÃ,3304151,1.476641146850000,0.062389956827600
62,63,RIO DAS OSTRAS,3304524,0.841975267083000,0.020094872310800
63,64,RIO DE JANEIRO,3304557,3.935137396850000,0.105649067610000
64,65,SÃO FRANCISCO DE ITABAPOANA,3304755,2.005238294400000,0.097777963081400
65,66,SÃO GONÇALO,3304904,0.807174334704000,0.021789999356000
66,67,SÃO JOÃO DA BARRA,3305000,0.918723591521000,0.039737136651700
67,68,SÃO PEDRO DA ALDEIA,3305208,0.846836121353000,0.029266370357200
68,69,SAQUAREMA,3305505,0.843905198949000,0.031113492688400
69,70,BERTIOGA,3506359,1.457500340870000,0.043413097511100
70,71,CANANÉIA,3509908,2.719213721490000,0.110848246671000
71,72,CARAGUATATUBA,3510500,1.787838120430000,0.042927183868000
72,73,CUBATÃO,3513504,0.702778078871000,0.012665158887500
73,74,GUARUJÁ,3518701,1.044953261120000,0.012735140162300
74,75,IGUAPE,3520301,2.565686322400000,0.176253148238000
75,76,ILHABELA,3520400,1.531608463470000,0.030800414621700
76,77,ILHA COMPRIDA,3520426,1.399478737370000,0.017158880260000
77,78,ITANHAÉM,3522109,1.425866859600000,0.053440555563000
78,79,MONGAGUÁ,3531100,0.555910877757000,0.012594675667600
79,80,PERUÍBE,3537602,1.253989793950000,0.028859508697700
80,81,PRAIA GRANDE,3541000,0.761604597769000,0.013050894336500
81,82,SANTOS,3548500,1.053103241990000,0.024880164826600
82,83,SÃO SEBASTIÃO,3550704,1.920836441490000,0.035398284793800
83,84,SÃO VICENTE,3551009,1.012332827820000,0.013118861365100
84,85,UBATUBA,3555406,3.054290523210000,0.063935706952400
85,86,ARAQUARI,4201307,1.387271500940000,0.034753642497700
86,87,ARARANGUÁ,4201406,1.015936476940000,0.028068633068800
87,88,BALNEÁRIO ARROIO DO SILVA,4201950,0.508030665244000,0.008822096084810
88,89,BALNEÁRIO CAMBORIÚ,4202008,0.526651571097000,0.004204997387170
89,90,BALNEÁRIO BARRA DO SUL,4202057,0.535309846327000,0.010070317275100
90,91,BALNEÁRIO GAIVOTA,4202073,0.558868128169000,0.013516499416100
91,92,BARRA VELHA,4202107,0.703852896923000,0.012724573704300
92,93,BOMBINHAS,4202453,0.697470195859000,0.003271368007800
93,94,CAMBORIÚ,4203204,0.757484964160000,0.019317619351000
94,95,FLORIANÓPOLIS,4205407,1.856380064280000,0.061726947699400
95,96,GAROPABA,4205704,0.648511921143000,0.010591678280100
96,97,GOVERNADOR CELSO RAMOS,4206009,0.624764432959000,0.010690182944600
97,98,IMBITUBA,4207304,1.011574483260000,0.016811754264400
98,99,ITAJAÍ,4208203,1.024424210850000,0.026206007903900
99,100,ITAPEMA,4208302,0.482669084570000,0.005260824029080
100,101,ITAPOÁ,4208450,0.841143772725000,0.022410467468300
101,102,JAGUARUNA,4208807,1.113524782470000,0.030305617062100
102,103,LAGUNA,4209409,1.122604076360000,0.030998922152300
103,104,NAVEGANTES,4211306,0.916832666649000,0.010171423321000
104,105,PALHOÇA,4211900,1.132909518900000,0.036174746842300
105,106,PASSO DE TORRES,4212254,0.517417529954000,0.008829565515610
106,107,PAULO LOPES,4212304,1.406697948250000,0.041240061553500
107,108,PENHA,4212502,0.475532469360000,0.005332860484950
108,109,BALNEÁRIO PIÇARRAS,4212809,0.486591409579000,0.009021490981850
109,110,PORTO BELO,4213500,0.702171430939000,0.008415198215090
110,111,SÃO FRANCISCO DO SUL,4216206,1.262374799580000,0.045055474709100
111,112,TIJUCAS,4218004,1.155083190270000,0.025476287349600
